Ticket	Actual EPS	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
IEX	1.1	1.06	2017-07-25	2017-02-01	2018-01-16
IFF	1.39	1.449	2017-08-08	2017-02-15	2018-01-30
IGT	-1.43	0.343	2017-08-01	2017-02-08	2018-01-23
ILMN	0.87	0.688	2017-08-01	2017-02-08	2018-01-23
INCY	-0.06	0.192	2017-08-01	2017-02-08	2018-01-23
INFO	0.25	0.523	2017-06-27	2017-01-04	2017-12-15
INGR	1.81	1.851	2017-08-01	2017-02-08	2018-01-23
INTC	0.6	0.68	2017-07-27	2017-02-03	2018-01-18
INTU	0.05	0.25	2017-02-23	2016-08-31	2017-08-15
INVH	0.02	0.018	2017-08-10	2017-02-17	2018-02-01
IONS	-0.02	-0.028	2017-08-08	2017-02-15	2018-01-30
IP	0.19	0.647	2017-07-27	2017-02-03	2018-01-18
IPG	0.27	0.343	2017-07-25	2017-02-01	2018-01-16
