Ticket	adjusted eps	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
EQT	0.06	0.065	2017-07-27	2017-02-03	2018-01-18
ERIE	1.1182	1.21	2017-07-27	2017-02-03	2018-01-18
ES	0.72	0.682	2017-07-27	2017-02-03	2018-01-18
ESRX	1.73	1.714	2017-07-25	2017-02-01	2018-01-16
ESS	1.0422	0.974	2017-07-27	2017-02-03	2018-01-18
ETFC	0.5186	0.481	2017-07-20	2017-01-27	2018-01-10
ETN	1.15	1.157	2017-08-01	2017-02-08	2018-01-23
ETR	3.11	1.184	2017-08-02	2017-02-09	2018-01-24
EV	0.62	0.591	2017-05-24	2016-11-30	2017-11-13
EVR	1.06	0.843	2017-07-27	2017-02-03	2018-01-18
EW	1.08	0.881	2017-07-26	2017-02-02	2018-01-17
EWBC	0.8073	0.802	2017-07-20	2017-01-27	2018-01-10
EXAS	-0.27	-0.351	2017-07-25	2017-02-01	2018-01-16
EXC	0.54	0.524	2017-08-02	2017-02-09	2018-01-24
EXEL	0.0696	0.037	2017-08-02	2017-02-09	2018-01-24
EXP	1.168	1.287	2016-10-24	2016-05-04	2017-04-18
EXPD	0.598	0.591	2017-08-08	2017-02-15	2018-01-30
EXPE	0.448	0.92	2017-07-27	2017-02-03	2018-01-18
EXR	0.69	0.648	2017-08-01	2017-02-08	2018-01-23
F	0.56	0.43	2017-07-26	2017-02-02	2018-01-17
FAF	1.09	0.93	2017-07-27	2017-02-03	2018-01-18
FANG	1.4	0.946	2017-08-01	2017-02-08	2018-01-23
FAST	0.52	0.497	2017-07-12	2017-01-19	2018-01-02
FB	1.3182	1.384	2017-07-26	2017-02-02	2018-01-17
FBHS	0.92	0.872	2017-08-02	2017-02-09	2018-01-24
FCX	0.17	0.202	2017-07-25	2017-02-01	2018-01-16
FDC	0.2249	0.399	2017-08-07	2017-02-14	2018-01-29
FDS	1.85	1.797	2017-03-28	2016-10-04	2017-09-18
FDX	4.25	2.908	2016-12-20	2016-06-30	2017-06-14
FE	0.61	0.597	2017-07-27	2017-02-03	2018-01-18
FEYE	-0.4	-0.116	2017-08-01	2017-02-08	2018-01-23
FFIV	1.541	1.971	2017-04-26	2016-11-01	2017-10-16
FHB	0.41	0.406	2017-07-27	2017-02-03	2018-01-18
FHN	0.2732	0.262	2017-07-14	2017-01-23	2018-01-04
FICO	0.7897	1.127	2017-04-27	2016-11-02	2017-10-17
FIS	1.02	0.972	2017-08-02	2017-02-09	2018-01-24
FISV	0.595	0.618	2017-08-01	2017-02-08	2018-01-23
FITB	0.46	0.425	2017-07-21	2017-01-30	2018-01-11
FL	0.62	0.901	2016-08-19	2016-03-01	2017-02-10
FLIR	0.42	0.416	2017-07-26	2017-02-02	2018-01-17
FLO	0.24	0.23	2017-08-09	2017-02-16	2018-01-31
FLR	-0.17	0.601	2017-08-03	2017-02-10	2018-01-25
FLS	0.22	0.43	2017-07-27	2017-02-03	2018-01-18
FLT	1.99	1.965	2017-08-03	2017-02-10	2018-01-25
FMC	0.48	0.474	2017-08-01	2017-02-08	2018-01-23
FNB	0.23	0.23	2017-07-20	2017-01-27	2018-01-10
FNF	0.75	0.72	2017-07-19	2017-01-26	2018-01-09
